"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2022","26,190.0","25,800.0","26,150.0","25,800.0","0.01K","1.87%"
"07/06/2022","25,710.0","26,340.0","26,340.0","25,900.0","81.64K","-1.31%"
"07/05/2022","26,050.0","26,170.0","26,520.0","26,100.0","57.08K","0.66%"
"07/04/2022","25,880.0","25,650.0","25,650.0","25,650.0","0.00K","1.33%"
"07/01/2022","25,540.0","25,950.0","26,130.0","25,590.0","0.02K","-2.11%"
"06/30/2022","26,090.0","26,380.0","26,500.0","26,160.0","0.01K","-1.14%"
"06/29/2022","26,390.0","26,900.0","26,900.0","26,540.0","0.00K","-1.42%"
"06/28/2022","26,770.0","26,600.0","26,630.0","26,600.0","0.02K","1.13%"
"06/27/2022","26,470.0","26,360.0","26,360.0","26,360.0","0.00K","1.11%"
"06/24/2022","26,180.0","25,720.0","26,160.0","25,720.0","0.00K","1.36%"
"06/23/2022","25,830.0","25,680.0","25,810.0","25,680.0","0.00K","0.08%"
"06/22/2022","25,810.0","26,070.0","26,070.0","26,070.0","0.00K","-0.50%"
"06/21/2022","25,940.0","25,800.0","25,800.0","25,800.0","0.00K","1.77%"
"06/20/2022","25,490.0","25,750.0","25,800.0","25,290.0","0.05K","-0.04%"
"06/17/2022","25,500.0","25,800.0","25,800.0","25,300.0","0.06K","-2.45%"
"06/16/2022","26,140.0","26,000.0","26,500.0","25,990.0","0.04K","0.54%"
"06/15/2022","26,000.0","26,290.0","26,290.0","26,000.0","0.04K","-1.40%"
"06/14/2022","26,370.0","26,500.0","26,500.0","26,090.0","0.03K","-0.68%"
"06/13/2022","26,550.0","27,430.0","27,430.0","26,620.0","0.01K","-3.63%"
"06/10/2022","27,550.0","27,940.0","27,940.0","27,490.0","0.02K","-1.43%"
"06/09/2022","27,950.0","27,840.0","28,020.0","27,840.0","0.01K","0.40%"
"06/08/2022","27,840.0","27,560.0","27,880.0","27,560.0","0.02K","0.69%"
"06/07/2022","27,650.0","27,660.0","27,720.0","27,530.0","0.02K","0.36%"
"06/06/2022","27,550.0","27,300.0","27,610.0","27,200.0","0.03K","0.44%"
"06/03/2022","27,430.0","27,150.0","27,400.0","27,090.0","0.02K","1.22%"
"06/02/2022","27,100.0","27,180.0","27,180.0","26,910.0","0.01K","-0.15%"
"06/01/2022","27,140.0","26,900.0","27,110.0","26,850.0","0.01K","0.85%"
"05/31/2022","26,910.0","27,100.0","27,100.0","26,940.0","0.03K","-0.48%"
"05/30/2022","27,040.0","26,520.0","27,010.0","26,520.0","0.01K","2.19%"
"05/27/2022","26,460.0","26,450.0","26,650.0","26,450.0","0.00K","0.72%"
"05/26/2022","26,270.0","26,510.0","26,520.0","26,360.0","0.00K","-0.27%"
"05/25/2022","26,340.0","26,280.0","26,400.0","26,280.0","0.01K","-0.23%"
"05/24/2022","26,400.0","27,030.0","27,140.0","26,730.0","64.38K","-1.16%"
"05/23/2022","26,710.0","26,160.0","26,700.0","26,160.0","0.04K","1.02%"
"05/20/2022","26,440.0","25,930.0","26,330.0","25,930.0","0.00K","1.54%"
"05/19/2022","26,040.0","26,000.0","26,090.0","25,880.0","0.03K","-1.81%"
"05/18/2022","26,520.0","26,600.0","26,600.0","26,600.0","0.02K","0.87%"
"05/17/2022","26,290.0","26,500.0","26,710.0","26,430.0","59.23K","0.57%"
"05/16/2022","26,140.0","26,390.0","26,870.0","26,370.0","77.39K","0.35%"
"05/13/2022","26,050.0","25,310.0","25,310.0","25,310.0","0.00K","2.40%"
"05/12/2022","25,440.0","26,150.0","26,380.0","25,680.0","104.23K","-1.85%"
"05/11/2022","25,920.0","26,290.0","26,330.0","25,920.0","93.58K","-0.08%"
"05/10/2022","25,940.0","25,500.0","25,500.0","25,500.0","0.02K","-0.50%"
"05/09/2022","26,070.0","27,000.0","27,090.0","26,310.0","93.03K","-2.65%"
"05/06/2022","26,780.0","26,490.0","26,490.0","26,490.0","0.01K","0.17%"
"05/05/2022","26,735.0","27,427.5","27,450.0","26,585.0","","-2.47%"
"05/04/2022","27,412.5","27,080.0","27,483.0","26,782.5","","1.23%"
"05/03/2022","27,080.0","26,818.0","27,113.0","26,812.5","","2.23%"
"05/02/2022","26,490.0","26,360.0","26,360.0","26,360.0","0.00K","-0.99%"
"04/29/2022","26,755.0","27,167.5","27,465.0","26,700.0","","0.81%"
"04/28/2022","26,540.0","26,150.0","26,150.0","26,150.0","0.00K","1.84%"
"04/27/2022","26,060.0","26,000.0","26,000.0","25,930.0","0.02K","-0.99%"
"04/26/2022","26,320.0","26,600.0","26,850.0","26,400.0","83.33K","0.42%"
"04/25/2022","26,210.0","26,480.0","26,480.0","26,270.0","0.00K","-2.09%"
"04/22/2022","26,770.0","27,280.0","27,280.0","26,800.0","0.01K","-1.51%"
"04/21/2022","27,180.0","26,870.0","27,240.0","26,870.0","0.02K","1.23%"
"04/20/2022","26,850.0","26,950.0","27,390.0","26,870.0","58.24K","0.49%"
"04/19/2022","26,720.0","26,730.0","27,110.0","26,660.0","57.78K","1.14%"
"04/18/2022","26,420.0","27,110.0","27,120.0","26,560.0","34.52K","-1.23%"
"04/15/2022","26,750.0","27,170.0","27,310.0","26,770.0","49.21K","-0.41%"
"04/14/2022","26,860.0","26,880.0","26,880.0","26,790.0","0.00K","1.17%"
"04/13/2022","26,550.0","26,260.0","26,880.0","26,240.0","76.41K","2.12%"
"04/12/2022","26,000.0","26,490.0","26,490.0","25,970.0","0.03K","-1.89%"
"04/11/2022","26,500.0","26,600.0","26,600.0","26,490.0","0.00K","-0.79%"
"04/08/2022","26,710.0","26,610.0","26,610.0","26,610.0","0.01K","0.53%"
"04/07/2022","26,570.0","26,840.0","26,840.0","26,500.0","0.02K","-1.96%"
"04/06/2022","27,100.0","27,840.0","27,880.0","27,200.0","54.07K","-1.31%"
"04/05/2022","27,460.0","27,690.0","28,020.0","27,630.0","36.81K","0.04%"
"04/04/2022","27,450.0","27,730.0","27,870.0","27,570.0","38.20K","0.44%"
"04/01/2022","27,330.0","27,460.0","27,460.0","27,370.0","0.00K","-0.65%"
"03/31/2022","27,510.0","27,380.0","27,680.0","27,380.0","0.02K","-0.61%"
"03/30/2022","27,680.0","28,020.0","28,410.0","27,720.0","72.22K","0.29%"
"03/29/2022","27,600.0","27,660.0","27,660.0","27,630.0","0.00K","0.99%"
"03/28/2022","27,330.0","27,590.0","27,590.0","27,590.0","0.00K","-0.94%"
"03/25/2022","27,590.0","27,860.0","28,140.0","27,700.0","58.49K","0.29%"
"03/24/2022","27,510.0","27,490.0","27,490.0","27,270.0","0.01K","-0.07%"
"03/23/2022","27,530.0","27,040.0","27,180.0","27,040.0","0.00K","2.92%"
"03/22/2022","26,750.0","26,400.0","26,580.0","26,400.0","0.00K","-0.70%"
"03/21/2022","26,937.5","27,052.5","27,142.5","26,917.5","","-0.41%"
"03/20/2022","27,047.5","27,077.5","27,090.0","26,997.5","","1.19%"
"03/18/2022","26,730.0","26,420.0","26,730.0","26,270.0","51.06K","1.10%"
"03/17/2022","26,440.0","25,630.0","26,460.0","25,600.0","85.71K","3.28%"
"03/16/2022","25,600.0","25,010.0","25,600.0","24,840.0","75.09K","1.87%"
"03/15/2022","25,130.0","25,100.0","25,260.0","24,960.0","50.40K","0.32%"
"03/14/2022","25,050.0","25,140.0","25,520.0","24,900.0","70.54K","-0.16%"
"03/11/2022","25,090.0","25,480.0","25,500.0","24,720.0","77.71K","-2.53%"
"03/10/2022","25,740.0","24,850.0","25,740.0","24,800.0","33.28K","4.00%"
"03/09/2022","24,750.0","24,680.0","25,160.0","24,550.0","64.03K","0.24%"
"03/08/2022","24,690.0","25,250.0","25,530.0","24,690.0","83.13K","-2.06%"
"03/07/2022","25,210.0","26,120.0","26,180.0","25,000.0","85.15K","-3.41%"
"03/04/2022","26,100.0","26,640.0","26,690.0","25,760.0","90.47K","-2.10%"
"03/03/2022","26,660.0","26,250.0","26,720.0","26,230.0","54.73K","1.14%"
"03/02/2022","26,360.0","26,940.0","26,950.0","26,270.0","67.25K","-1.93%"
"03/01/2022","26,880.0","26,580.0","27,020.0","26,490.0","62.07K","1.20%"
"02/28/2022","26,560.0","26,480.0","26,970.0","26,260.0","85.97K","0.23%"
"02/25/2022","26,500.0","25,660.0","26,500.0","25,590.0","105.79K","2.20%"
"02/24/2022","25,930.0","26,370.0","26,920.0","25,750.0","119.37K","-1.22%"
"02/23/2022","26,250.0","26,753.0","26,893.0","26,223.0","","-0.68%"
"02/22/2022","26,430.0","26,990.0","27,000.0","26,230.0","69.05K","-1.89%"
"02/21/2022","26,940.0","27,060.0","27,130.0","26,530.0","58.52K","-0.55%"
"02/18/2022","27,090.0","27,220.0","27,320.0","26,780.0","61.45K","-0.26%"
"02/17/2022","27,160.0","27,410.0","27,550.0","27,060.0","54.16K","-0.98%"
"02/16/2022","27,430.0","26,860.0","27,470.0","26,820.0","52.42K","2.20%"
"02/15/2022","26,840.0","27,060.0","27,150.0","26,700.0","65.50K","-0.96%"
"02/14/2022","27,100.0","27,690.0","27,750.0","26,920.0","65.97K","0.38%"
"02/11/2022","26,997.5","27,323.0","27,445.0","26,845.0","","-2.54%"
"02/10/2022","27,700.0","27,550.0","27,860.0","27,510.0","39.64K","0.54%"
"02/09/2022","27,550.0","27,270.0","27,610.0","27,190.0","39.20K","0.99%"
"02/08/2022","27,280.0","27,270.0","27,450.0","27,130.0","37.92K","0.22%"
"02/07/2022","27,220.0","27,390.0","27,440.0","27,070.0","50.70K","-0.69%"
"02/04/2022","27,410.0","27,180.0","27,430.0","26,940.0","50.15K","0.77%"
"02/03/2022","27,200.0","27,490.0","27,570.0","27,150.0","40.37K","-1.23%"
"02/02/2022","27,540.0","27,080.0","27,540.0","26,970.0","47.30K","1.89%"
"02/01/2022","27,030.0","26,970.0","27,400.0","26,820.0","54.25K","-0.07%"
"01/31/2022","27,050.0","26,660.0","27,120.0","26,230.0","78.32K","1.27%"
"01/28/2022","26,710.0","26,320.0","26,830.0","26,260.0","85.26K","1.87%"
"01/27/2022","26,220.0","27,010.0","27,400.0","26,020.0","118.52K","-2.92%"
"01/26/2022","27,010.0","26,960.0","27,340.0","26,840.0","71.25K","-0.18%"
"01/25/2022","27,060.0","27,540.0","27,550.0","26,680.0","103.19K","-1.89%"
"01/24/2022","27,580.0","27,580.0","27,680.0","27,170.0","67.60K","0.22%"
"01/21/2022","27,520.0","27,800.0","27,940.0","27,100.0","75.90K","-0.97%"
"01/20/2022","27,790.0","27,470.0","27,870.0","27,190.0","78.33K","0.98%"
"01/19/2022","27,520.0","28,250.0","28,300.0","27,280.0","81.91K","-2.58%"
"01/18/2022","28,250.0","28,340.0","28,720.0","28,110.0","44.79K","-0.32%"
"01/17/2022","28,340.0","28,190.0","28,430.0","28,020.0","45.12K","0.53%"
"01/14/2022","28,190.0","28,530.0","28,660.0","27,850.0","63.38K","-1.26%"
"01/13/2022","28,550.0","28,710.0","28,790.0","28,440.0","36.78K","-0.66%"
"01/12/2022","28,740.0","28,150.0","28,790.0","28,120.0","45.49K","2.10%"
"01/11/2022","28,150.0","28,490.0","28,490.0","28,060.0","49.69K","-0.74%"
"01/10/2022","28,360.0","28,370.0","28,562.5","27,860.0","","-0.02%"
"01/09/2022","28,365.0","28,412.5","28,457.5","28,277.5","","-0.30%"
"01/07/2022","28,450.0","28,570.0","28,830.0","28,260.0","62.69K","-0.18%"
"01/06/2022","28,500.0","29,290.0","29,340.0","28,460.0","63.20K","-2.63%"
"01/05/2022","29,270.0","29,210.0","29,370.0","29,170.0","35.44K","0.14%"
"01/04/2022","29,230.0","28,840.0","29,300.0","28,800.0","40.51K","0.64%"
"01/03/2022","29,045.0","28,950.0","29,140.0","28,807.5","","0.40%"
"01/02/2022","28,930.0","28,892.5","29,045.0","28,892.5","","0.23%"
"12/31/2021","28,865.0","28,790.0","28,985.0","28,702.5","","0.30%"
"12/30/2021","28,780.0","28,850.0","28,900.0","28,550.0","33.11K","-0.17%"
"12/29/2021","28,830.0","28,920.0","29,080.0","28,700.0","33.95K","-0.38%"
"12/28/2021","28,940.0","28,660.0","29,070.0","28,630.0","33.49K","1.01%"
"12/27/2021","28,650.0","28,730.0","28,750.0","28,600.0","13.02K","-0.21%"
"12/24/2021","28,710.0","28,700.0","28,880.0","28,660.0","18.02K","0.00%"
"12/23/2021","28,710.0","28,460.0","28,750.0","28,390.0","23.57K","0.95%"
"12/22/2021","28,440.0","28,520.0","28,660.0","28,360.0","33.48K","-0.21%"
"12/21/2021","28,500.0","27,790.0","28,520.0","27,780.0","58.93K","2.15%"
"12/20/2021","27,900.0","28,540.0","28,630.0","27,830.0","72.15K","-2.17%"
"12/17/2021","28,520.0","29,090.0","29,150.0","28,440.0","52.49K","-1.66%"
"12/16/2021","29,000.0","28,420.0","29,030.0","28,390.0","48.48K","1.86%"
"12/15/2021","28,470.0","28,420.0","28,470.0","28,110.0","32.34K","0.46%"
